id,client_id,category_id,title,description,created_at,updated_at,github,website,video
1,2,3,BasicFat,"<div>Projet 1 - Wild Code School</div>","2021-02-04 16:40:29","2021-02-04 19:46:20",https://github.com/gouedard-mathias/basicfat.git,NULL,NULL
2,2,3,Techwatch,"<div>Projet 2 - Wild Code School<br>Gestionnaire de veilles technologiques</div>","2021-02-04 16:42:35","2021-02-04 19:44:19",https://github.com/gouedard-mathias/techwatch.git,https://bordeaux-php-2009-project2-techwatch.phprover.wilders.dev/,NULL
3,1,3,"Chef à domicile","<div>Projet 3 - Wild Code School<br>Just eat sauf que c'est le chef qui se ramène chez toi</div>","2021-02-04 16:52:04","2021-02-04 19:40:36",https://github.com/WildCodeSchool/bordeaux-202009-php-project3-chef.git,https://monchefetoile.fr/,NULL
4,2,3,boats-GPS,"<div>Hackathon 1 - Wild Code School<br>gps hightech pour les pirates, mieux que le compas de Jack Sparrow</div>","2021-02-04 16:59:34","2021-02-04 19:40:40",https://github.com/gouedard-mathias/boats-GPS.git,NULL,NULL
5,2,3,"Jeu de carte universel","<div>Hackathon 2 - Wild Code School<br>jeu de 52 cartes pour jouer à n'importe quel jeu.</div>","2021-02-04 17:02:29","2021-02-04 19:40:44",NULL,NULL,NULL
